,accuracy,level,L2Norm,RMSerror,grid_points,adaptive,train_data
0,0.0242267284133,1,0.69608517314,0.0415773822702,1,Level: 1 adaptive: 0,100
0,0.0242267284133,1,0.69608517314,0.0415773822702,1,Level: 1 adaptive: 1,100
0,0.00792164076604,2,0.398036198506,0.011631530837,19,Level: 2 adaptive: 0,100
0,0.00792164076604,2,0.398036198506,0.011631530837,19,Level: 2 adaptive: 1,100
0,0.0591118753412,3,1.08730745736,0.0876912633057,199,Level: 3 adaptive: 0,100
0,0.0591118753412,3,1.08730745736,0.0876912633057,199,Level: 3 adaptive: 1,100
0,0.0175492045238,4,0.592439102757,0.027557599478,1519,Level: 4 adaptive: 0,100
0,0.0175492045238,4,0.592439102757,0.027557599478,1519,Level: 4 adaptive: 1,100
0,0.0148857973582,1,0.771642335753,0.0228568815661,1,Level: 1 adaptive: 0,200
0,0.0148857973582,1,0.771642335753,0.0228568815661,1,Level: 1 adaptive: 1,200
0,0.00324989399858,2,0.360549247598,0.00493403632528,19,Level: 2 adaptive: 0,200
0,0.00324989399858,2,0.360549247598,0.00493403632528,19,Level: 2 adaptive: 1,200
0,0.24656559892,3,3.14048148487,0.466432158404,199,Level: 3 adaptive: 0,200
0,0.0348743882654,1,0.835157329674,0.0913155122333,1,Level: 1 adaptive: 0,100
0,0.0348743882654,1,0.835157329674,0.0913155122333,1,Level: 1 adaptive: 1,100
0,0.00987214594943,2,0.44434549507,0.0193722010916,19,Level: 2 adaptive: 0,100
0,0.00987214594943,2,0.44434549507,0.0193722010916,19,Level: 2 adaptive: 1,100
0,0.0137638570965,3,0.524668602005,0.0187148433485,199,Level: 3 adaptive: 0,100
0,0.0137638570965,3,0.524668602005,0.0187148433485,199,Level: 3 adaptive: 1,100
0,0.0194811044449,4,0.624197155471,0.0357021455475,1519,Level: 4 adaptive: 0,100
0,0.0194811044449,4,0.624197155471,0.0357021455475,1519,Level: 4 adaptive: 1,100
0,0.0191862345234,1,0.876041883096,0.0432456266999,1,Level: 1 adaptive: 0,200
0,0.0191862345234,1,0.876041883096,0.0432456266999,1,Level: 1 adaptive: 1,200
0,0.005244723233,2,0.458027214606,0.00889883558771,19,Level: 2 adaptive: 0,200
0,0.005244723233,2,0.458027214606,0.00889883558771,19,Level: 2 adaptive: 1,200
0,0.0444506055717,3,1.33342574704,0.0749145636256,199,Level: 3 adaptive: 0,200
0,0.0444506055717,3,1.33342574704,0.0749145636256,199,Level: 3 adaptive: 1,200
0,0.0127152501169,4,0.713168987461,0.0207566030982,1519,Level: 4 adaptive: 0,200
0,0.0127152501169,4,0.713168987461,0.0207566030982,1519,Level: 4 adaptive: 1,200
0,0.0142075996145,1,0.923285425463,0.0214636517994,1,Level: 1 adaptive: 0,300
0,0.0142075996145,1,0.923285425463,0.0214636517994,1,Level: 1 adaptive: 1,300
0,0.00322390282545,2,0.43981151591,0.00550457887063,19,Level: 2 adaptive: 0,300
0,0.00322390282545,2,0.43981151591,0.00550457887063,19,Level: 2 adaptive: 1,300
0,0.0113971188823,3,0.826938409397,0.0196277745716,199,Level: 3 adaptive: 0,300
0,0.0113971188823,3,0.826938409397,0.0196277745716,199,Level: 3 adaptive: 1,300
0,0.0115247453578,4,0.831555603354,0.0191851373845,1519,Level: 4 adaptive: 0,300
0,0.0115247453578,4,0.831555603354,0.0191851373845,1519,Level: 4 adaptive: 1,300
0,0.0211816576355,1,1.30174214453,0.0367437459281,1,Level: 1 adaptive: 0,400
0,0.0211816576355,1,1.30174214453,0.0367437459281,1,Level: 1 adaptive: 1,400
0,0.00420032295283,2,0.579677355282,0.00772788339474,19,Level: 2 adaptive: 0,400
0,0.00420032295283,2,0.579677355282,0.00772788339474,19,Level: 2 adaptive: 1,400
0,0.00799247235559,3,0.799623529198,0.0132650586686,199,Level: 3 adaptive: 0,400
0,0.00799247235559,3,0.799623529198,0.0132650586686,199,Level: 3 adaptive: 1,400
0,0.0231979346931,4,1.36229026843,0.0378788093938,1519,Level: 4 adaptive: 0,400
0,0.0231979346931,4,1.36229026843,0.0378788093938,1519,Level: 4 adaptive: 1,400
0,0.0194698902024,1,1.39534548419,0.0414894142866,1,Level: 1 adaptive: 0,500
0,0.0194698902024,1,1.39534548419,0.0414894142866,1,Level: 1 adaptive: 1,500
0,0.00732858295307,2,0.856071431194,0.0187682598726,19,Level: 2 adaptive: 0,500
0,0.00732858295307,2,0.856071431194,0.0187682598726,19,Level: 2 adaptive: 1,500
0,0.00831326832087,3,0.911771260836,0.0176409592947,199,Level: 3 adaptive: 0,500
0,0.00831326832087,3,0.911771260836,0.0176409592947,199,Level: 3 adaptive: 1,500
0,0.0233297092449,4,1.52740660091,0.0423029209758,1519,Level: 4 adaptive: 0,500
0,0.0233297092449,4,1.52740660091,0.0423029209758,1519,Level: 4 adaptive: 1,500
0,0.0167591527755,1,1.41813198718,0.0284905103106,1,Level: 1 adaptive: 0,600
0,0.0167591527755,1,1.41813198718,0.0284905103106,1,Level: 1 adaptive: 1,600
0,0.00568442519533,2,0.825912237129,0.0136330237418,19,Level: 2 adaptive: 0,600
0,0.00568442519533,2,0.825912237129,0.0136330237418,19,Level: 2 adaptive: 1,600
0,0.00570171485862,3,0.82716732469,0.0121943056806,199,Level: 3 adaptive: 0,600
0,0.00570171485862,3,0.82716732469,0.0121943056806,199,Level: 3 adaptive: 1,600
0,0.0298743004235,4,1.89338745396,0.060479766167,1519,Level: 4 adaptive: 0,600
0,0.0298743004235,4,1.89338745396,0.060479766167,1519,Level: 4 adaptive: 1,600
0,0.0167369923382,1,1.53074456633,0.0339467769252,1,Level: 1 adaptive: 0,700
0,0.0167369923382,1,1.53074456633,0.0339467769252,1,Level: 1 adaptive: 1,700
0,0.00507160244743,2,0.842629421894,0.00864452598808,19,Level: 2 adaptive: 0,700
0,0.00507160244743,2,0.842629421894,0.00864452598808,19,Level: 2 adaptive: 1,700
0,0.00598925066933,3,0.915693777257,0.011106256285,199,Level: 3 adaptive: 0,700
0,0.00598925066933,3,0.915693777257,0.011106256285,199,Level: 3 adaptive: 1,700
0,0.045777631465,4,2.53157429381,0.0968832586495,1519,Level: 4 adaptive: 0,700
0,0.045777631465,4,2.53157429381,0.0968832586495,1519,Level: 4 adaptive: 1,700
0,0.0251440430736,1,2.0057534474,0.0649008260597,1,Level: 1 adaptive: 0,800
0,0.0251440430736,1,2.0057534474,0.0649008260597,1,Level: 1 adaptive: 1,800
0,0.005531660465,2,0.940779291014,0.013095050901,19,Level: 2 adaptive: 0,800
0,0.005531660465,2,0.940779291014,0.013095050901,19,Level: 2 adaptive: 1,800
0,0.00497268836066,3,0.891981018692,0.00938733592541,199,Level: 3 adaptive: 0,800
0,0.00497268836066,3,0.891981018692,0.00938733592541,199,Level: 3 adaptive: 1,800
0,0.0378712527583,4,2.46158494498,0.0721721682592,1519,Level: 4 adaptive: 0,800
0,0.0378712527583,4,2.46158494498,0.0721721682592,1519,Level: 4 adaptive: 1,800
0,0.0304578879393,1,2.34145677497,0.0746930865988,1,Level: 1 adaptive: 0,900
0,0.0304578879393,1,2.34145677497,0.0746930865988,1,Level: 1 adaptive: 1,900
0,0.00681873321402,2,1.10786821352,0.0143019959516,19,Level: 2 adaptive: 0,900
0,0.00681873321402,2,1.10786821352,0.0143019959516,19,Level: 2 adaptive: 1,900
0,0.005257181713,3,0.972775774956,0.00899212856706,199,Level: 3 adaptive: 0,900
0,0.005257181713,3,0.972775774956,0.00899212856706,199,Level: 3 adaptive: 1,900
0,0.0799191431086,4,3.79281501784,0.155550646357,1519,Level: 4 adaptive: 0,900
0,0.0799191431086,4,3.79281501784,0.155550646357,1519,Level: 4 adaptive: 1,900
0,0.0219026469694,1,2.09297142692,0.0566327278572,1,Level: 1 adaptive: 0,1000
0,0.0219026469694,1,2.09297142692,0.0566327278572,1,Level: 1 adaptive: 1,1000
0,0.00506435242536,2,1.00641466855,0.0126175325474,19,Level: 2 adaptive: 0,1000
0,0.00506435242536,2,1.00641466855,0.0126175325474,19,Level: 2 adaptive: 1,1000
0,0.0045536106337,3,0.954317623613,0.00787644623297,199,Level: 3 adaptive: 0,1000
0,0.0045536106337,3,0.954317623613,0.00787644623297,199,Level: 3 adaptive: 1,1000
0,0.0854285212562,4,4.13348572651,0.200875667938,1519,Level: 4 adaptive: 0,1000
0,0.0854285212562,4,4.13348572651,0.200875667938,1519,Level: 4 adaptive: 1,1000
0,0.0208921786161,1,2.14389348978,0.0510618988788,1,Level: 1 adaptive: 0,1100
0,0.0208921786161,1,2.14389348978,0.0510618988788,1,Level: 1 adaptive: 1,1100
0,0.00523286110115,2,1.07295360676,0.0125567379489,19,Level: 2 adaptive: 0,1100
0,0.00523286110115,2,1.07295360676,0.0125567379489,19,Level: 2 adaptive: 1,1100
0,0.00469825821405,3,1.01666946796,0.00927968409703,199,Level: 3 adaptive: 0,1100
0,0.00469825821405,3,1.01666946796,0.00927968409703,199,Level: 3 adaptive: 1,1100
0,0.0523199424943,4,3.3926961769,0.13269082962,1519,Level: 4 adaptive: 0,1100
0,0.0523199424943,4,3.3926961769,0.13269082962,1519,Level: 4 adaptive: 1,1100
0,0.0224295365614,1,2.32014843808,0.0529133270702,1,Level: 1 adaptive: 0,1200
0,0.0224295365614,1,2.32014843808,0.0529133270702,1,Level: 1 adaptive: 1,1200
0,0.00463417447788,2,1.05460982107,0.0101446913322,19,Level: 2 adaptive: 0,1200
0,0.00463417447788,2,1.05460982107,0.0101446913322,19,Level: 2 adaptive: 1,1200
0,0.00383408346034,3,0.959260147447,0.00628428461222,199,Level: 3 adaptive: 0,1200
0,0.00383408346034,3,0.959260147447,0.00628428461222,199,Level: 3 adaptive: 1,1200
0,0.075711575032,4,4.26271955536,0.267017603731,1519,Level: 4 adaptive: 0,1200
0,0.075711575032,4,4.26271955536,0.267017603731,1519,Level: 4 adaptive: 1,1200
0,0.0183319341987,1,2.18318640791,0.0336511651931,1,Level: 1 adaptive: 0,1300
0,0.0183319341987,1,2.18318640791,0.0336511651931,1,Level: 1 adaptive: 1,1300
0,0.00530842988963,2,1.1748156329,0.0116687272341,19,Level: 2 adaptive: 0,1300
0,0.00530842988963,2,1.1748156329,0.0116687272341,19,Level: 2 adaptive: 1,1300
0,0.00454580673116,3,1.08715672748,0.00875562589045,199,Level: 3 adaptive: 0,1300
0,0.00454580673116,3,1.08715672748,0.00875562589045,199,Level: 3 adaptive: 1,1300
0,0.0331704075036,4,2.93671686598,0.0728011276411,1519,Level: 4 adaptive: 0,1300
0,0.0331704075036,4,2.93671686598,0.0728011276411,1519,Level: 4 adaptive: 1,1300
0,0.0225951080906,1,2.5152793613,0.0538944533023,1,Level: 1 adaptive: 0,1400
0,0.0225951080906,1,2.5152793613,0.0538944533023,1,Level: 1 adaptive: 1,1400
0,0.00600479157893,2,1.29666558607,0.0124013560303,19,Level: 2 adaptive: 0,1400
0,0.00600479157893,2,1.29666558607,0.0124013560303,19,Level: 2 adaptive: 1,1400
0,0.0042009263659,3,1.08455492367,0.00760308655608,199,Level: 3 adaptive: 0,1400
0,0.0042009263659,3,1.08455492367,0.00760308655608,199,Level: 3 adaptive: 1,1400
0,0.0412255336453,4,3.39752106994,0.117241404609,1519,Level: 4 adaptive: 0,1400
0,0.0412255336453,4,3.39752106994,0.117241404609,1519,Level: 4 adaptive: 1,1400
0,0.0195190972999,1,2.41986139892,0.0392315537711,1,Level: 1 adaptive: 0,1500
0,0.0195190972999,1,2.41986139892,0.0392315537711,1,Level: 1 adaptive: 1,1500
0,0.00509369869673,2,1.23616730624,0.00862213436222,19,Level: 2 adaptive: 0,1500
0,0.00509369869673,2,1.23616730624,0.00862213436222,19,Level: 2 adaptive: 1,1500
0,0.00415106836131,3,1.11593929422,0.00743325393974,199,Level: 3 adaptive: 0,1500
0,0.00415106836131,3,1.11593929422,0.00743325393974,199,Level: 3 adaptive: 1,1500
0,0.0228643323407,4,2.61902647986,0.0527325468839,1519,Level: 4 adaptive: 0,1500
0,0.0228643323407,4,2.61902647986,0.0527325468839,1519,Level: 4 adaptive: 1,1500
0,0.0135343313524,1,0.520275529934,0.0238333159569,1,Level: 1 adaptive: 0,100
0,0.0135343313524,1,0.520275529934,0.0238333159569,1,Level: 1 adaptive: 1,100
0,0.00746800820598,2,0.3864714273,0.01091656857,19,Level: 2 adaptive: 0,100
0,0.00746800820598,2,0.3864714273,0.01091656857,19,Level: 2 adaptive: 1,100
0,0.0154983830654,3,0.556747394522,0.0227856687936,199,Level: 3 adaptive: 0,100
0,0.0154983830654,3,0.556747394522,0.0227856687936,199,Level: 3 adaptive: 1,100
0,0.00995281752368,4,0.446157315836,0.0129258009733,1519,Level: 4 adaptive: 0,100
0,0.00995281752368,4,0.446157315836,0.0129258009733,1519,Level: 4 adaptive: 1,100
0,0.017443800716,1,0.835315526396,0.0293696765383,1,Level: 1 adaptive: 0,200
0,0.017443800716,1,0.835315526396,0.0293696765383,1,Level: 1 adaptive: 1,200
0,0.00645504527734,2,0.508135622736,0.0107938453601,19,Level: 2 adaptive: 0,200
0,0.00645504527734,2,0.508135622736,0.0107938453601,19,Level: 2 adaptive: 1,200
0,0.077112864976,3,1.75627862227,0.156223566074,199,Level: 3 adaptive: 0,200
0,0.077112864976,3,1.75627862227,0.156223566074,199,Level: 3 adaptive: 1,200
0,0.00858158370574,4,0.585886804963,0.0129467138455,1519,Level: 4 adaptive: 0,200
0,0.00858158370574,4,0.585886804963,0.0129467138455,1519,Level: 4 adaptive: 1,200
0,0.0118927845531,1,0.844728993929,0.0191338926314,1,Level: 1 adaptive: 0,300
0,0.0118927845531,1,0.844728993929,0.0191338926314,1,Level: 1 adaptive: 1,300
0,0.0051299632611,2,0.554795273651,0.00764510658859,19,Level: 2 adaptive: 0,300
0,0.0051299632611,2,0.554795273651,0.00764510658859,19,Level: 2 adaptive: 1,300
0,0.011121488396,3,0.816877777736,0.0227896303195,199,Level: 3 adaptive: 0,300
0,0.011121488396,3,0.816877777736,0.0227896303195,199,Level: 3 adaptive: 1,300
0,0.0215395086341,4,1.13682475257,0.0510714700013,1519,Level: 4 adaptive: 0,300
0,0.0215395086341,4,1.13682475257,0.0510714700013,1519,Level: 4 adaptive: 1,300
0,0.0232288126624,1,1.36319661568,0.0548446164086,1,Level: 1 adaptive: 0,400
0,0.0232288126624,1,1.36319661568,0.0548446164086,1,Level: 1 adaptive: 1,400
0,0.00600695393598,2,0.693221692446,0.0119531353977,19,Level: 2 adaptive: 0,400
0,0.00600695393598,2,0.693221692446,0.0119531353977,19,Level: 2 adaptive: 1,400
0,0.00757451642327,3,0.77843516998,0.0118864501401,199,Level: 3 adaptive: 0,400
0,0.00757451642327,3,0.77843516998,0.0118864501401,199,Level: 3 adaptive: 1,400
0,0.0146689108117,4,1.08328798799,0.0264959826597,1519,Level: 4 adaptive: 0,400
0,0.0146689108117,4,1.08328798799,0.0264959826597,1519,Level: 4 adaptive: 1,400
0,0.0176483723248,1,1.32847176578,0.0331735923903,1,Level: 1 adaptive: 0,500
0,0.0176483723248,1,1.32847176578,0.0331735923903,1,Level: 1 adaptive: 1,500
0,0.00643564282563,2,0.80222458362,0.0101747022394,19,Level: 2 adaptive: 0,500
0,0.00643564282563,2,0.80222458362,0.0101747022394,19,Level: 2 adaptive: 1,500
0,0.00898892606498,3,0.948099470782,0.0263808268714,199,Level: 3 adaptive: 0,500
0,0.00898892606498,3,0.948099470782,0.0263808268714,199,Level: 3 adaptive: 1,500
0,0.0221868402425,4,1.48952476457,0.0422074760259,1519,Level: 4 adaptive: 0,500
0,0.0221868402425,4,1.48952476457,0.0422074760259,1519,Level: 4 adaptive: 1,500
0,0.0294929560164,1,1.88126412871,0.0717061715983,1,Level: 1 adaptive: 0,600
0,0.0294929560164,1,1.88126412871,0.0717061715983,1,Level: 1 adaptive: 1,600
0,0.00648944785548,2,0.882458918397,0.0135349321611,19,Level: 2 adaptive: 0,600
0,0.00648944785548,2,0.882458918397,0.0135349321611,19,Level: 2 adaptive: 1,600
0,0.00583442287489,3,0.83673815796,0.0124647334137,199,Level: 3 adaptive: 0,600
0,0.00583442287489,3,0.83673815796,0.0124647334137,199,Level: 3 adaptive: 1,600
0,0.0224790099095,4,1.64240104394,0.0440047456441,1519,Level: 4 adaptive: 0,600
0,0.0224790099095,4,1.64240104394,0.0440047456441,1519,Level: 4 adaptive: 1,600
0,0.0182189028719,1,1.59707432578,0.0382603017915,1,Level: 1 adaptive: 0,700
0,0.0182189028719,1,1.59707432578,0.0382603017915,1,Level: 1 adaptive: 1,700
0,0.00435737938046,2,0.781046165899,0.00808887482189,19,Level: 2 adaptive: 0,700
0,0.00435737938046,2,0.781046165899,0.00808887482189,19,Level: 2 adaptive: 1,700
0,0.00476024926429,3,0.816354639235,0.00952118556463,199,Level: 3 adaptive: 0,700
0,0.00476024926429,3,0.816354639235,0.00952118556463,199,Level: 3 adaptive: 1,700
0,0.0417216058818,4,2.4168212229,0.0922399760154,1519,Level: 4 adaptive: 0,700
0,0.0417216058818,4,2.4168212229,0.0922399760154,1519,Level: 4 adaptive: 1,700
0,0.0241839531437,1,1.96708731453,0.0595513126497,1,Level: 1 adaptive: 0,800
0,0.0241839531437,1,1.96708731453,0.0595513126497,1,Level: 1 adaptive: 1,800
0,0.0062129119194,2,0.997028538761,0.0135016358037,19,Level: 2 adaptive: 0,800
0,0.0062129119194,2,0.997028538761,0.0135016358037,19,Level: 2 adaptive: 1,800
0,0.00581267555529,3,0.964379639378,0.010945522763,199,Level: 3 adaptive: 0,800
0,0.00581267555529,3,0.964379639378,0.010945522763,199,Level: 3 adaptive: 1,800
0,0.0696248160805,4,3.33765944531,0.166346054324,1519,Level: 4 adaptive: 0,800
0,0.0696248160805,4,3.33765944531,0.166346054324,1519,Level: 4 adaptive: 1,800
0,0.0242824099151,1,2.09065391319,0.0673371703164,1,Level: 1 adaptive: 0,900
0,0.0242824099151,1,2.09065391319,0.0673371703164,1,Level: 1 adaptive: 1,900
0,0.00624380435246,2,1.0601343233,0.0143042635099,19,Level: 2 adaptive: 0,900
0,0.00624380435246,2,1.0601343233,0.0143042635099,19,Level: 2 adaptive: 1,900
0,0.00603167593324,3,1.04197008977,0.0116609128723,199,Level: 3 adaptive: 0,900
0,0.00603167593324,3,1.04197008977,0.0116609128723,199,Level: 3 adaptive: 1,900
0,0.0934533775082,4,4.10141535954,0.256490283633,1519,Level: 4 adaptive: 0,900
0,0.0934533775082,4,4.10141535954,0.256490283633,1519,Level: 4 adaptive: 1,900
0,0.0188939084483,1,1.94390886866,0.0341635667302,1,Level: 1 adaptive: 0,1000
0,0.0188939084483,1,1.94390886866,0.0341635667302,1,Level: 1 adaptive: 1,1000
0,0.00467104101965,2,0.966544465573,0.00764416923184,19,Level: 2 adaptive: 0,1000
0,0.00467104101965,2,0.966544465573,0.00764416923184,19,Level: 2 adaptive: 1,1000
0,0.0057370796469,3,1.07117502276,0.0106007736648,199,Level: 3 adaptive: 0,1000
0,0.0057370796469,3,1.07117502276,0.0106007736648,199,Level: 3 adaptive: 1,1000
0,0.113509861312,4,4.76465867218,0.278112497057,1519,Level: 4 adaptive: 0,1000
0,0.113509861312,4,4.76465867218,0.278112497057,1519,Level: 4 adaptive: 1,1000
0,0.0162926074392,1,1.89324420945,0.0285171399272,1,Level: 1 adaptive: 0,1100
0,0.0162926074392,1,1.89324420945,0.0285171399272,1,Level: 1 adaptive: 1,1100
0,0.00511455536622,2,1.06075547633,0.00857859183743,19,Level: 2 adaptive: 0,1100
0,0.00511455536622,2,1.06075547633,0.00857859183743,19,Level: 2 adaptive: 1,1100
0,0.00459347494686,3,1.00526836631,0.00813205093619,199,Level: 3 adaptive: 0,1100
0,0.00459347494686,3,1.00526836631,0.00813205093619,199,Level: 3 adaptive: 1,1100
0,0.059023863584,4,3.60350523636,0.147698535868,1519,Level: 4 adaptive: 0,1100
0,0.059023863584,4,3.60350523636,0.147698535868,1519,Level: 4 adaptive: 1,1100
0,0.0197969233513,1,2.17973888443,0.0354836682484,1,Level: 1 adaptive: 0,1200
0,0.0197969233513,1,2.17973888443,0.0354836682484,1,Level: 1 adaptive: 1,1200
0,0.00526504553182,2,1.12410450032,0.00912585817152,19,Level: 2 adaptive: 0,1200
0,0.00526504553182,2,1.12410450032,0.00912585817152,19,Level: 2 adaptive: 1,1200
0,0.00474115890535,3,1.06671370915,0.00845782239427,199,Level: 3 adaptive: 0,1200
0,0.00474115890535,3,1.06671370915,0.00845782239427,199,Level: 3 adaptive: 1,1200
0,0.0500983485239,4,3.46750683427,0.112696062442,1519,Level: 4 adaptive: 0,1200
0,0.0500983485239,4,3.46750683427,0.112696062442,1519,Level: 4 adaptive: 1,1200
0,0.0196422766572,1,2.25986546743,0.0395892302796,1,Level: 1 adaptive: 0,1300
0,0.0196422766572,1,2.25986546743,0.0395892302796,1,Level: 1 adaptive: 1,1300
0,0.00516518188209,2,1.15885602615,0.00907686134612,19,Level: 2 adaptive: 0,1300
0,0.00516518188209,2,1.15885602615,0.00907686134612,19,Level: 2 adaptive: 1,1300
0,0.00414427187159,3,1.03803212215,0.00706477951607,199,Level: 3 adaptive: 0,1300
0,0.00414427187159,3,1.03803212215,0.00706477951607,199,Level: 3 adaptive: 1,1300
0,0.050160281909,4,3.6113256979,0.146655285784,1519,Level: 4 adaptive: 0,1300
0,0.050160281909,4,3.6113256979,0.146655285784,1519,Level: 4 adaptive: 1,1300
0,0.025030671908,1,2.64737381838,0.0625519279928,1,Level: 1 adaptive: 0,1400
0,0.025030671908,1,2.64737381838,0.0625519279928,1,Level: 1 adaptive: 1,1400
0,0.00583549367034,2,1.278255932,0.0137796306123,19,Level: 2 adaptive: 0,1400
0,0.00583549367034,2,1.278255932,0.0137796306123,19,Level: 2 adaptive: 1,1400
0,0.00478221796409,3,1.15716076236,0.00905878782407,199,Level: 3 adaptive: 0,1400
